index,company,category,training/test,description
0,株式会社日立製作所,IT,training, 情報 通信システム 社会 産業 システム 電子 装置 システム 建設機械 機能 材料 * 生活 ecosystem 等 製品 開発 生産 販売 サービス 手掛ける 情報 通信システム System Integration 社会 産業 システム 産業 用 機器 プラント 電子 装置 システム 半導体 製造 装置
1,日本電気株式会社,IT,training, 政府 官公庁 公共機関 向け ネットワーク 技術 川砂 技術 データ 分析 技術 社会 ソリューション 提供 行う パブリック 事業 手掛ける いる 製造業 流通 コンビニ 向け 顔 認証 QRコード 読み取り 対応 する 次世代 型 ATM サービス業 金融業 向け IT ソリューション 提供 行う その他 通信事業 者 ネットワーク 構築 必要 機器 運用 管
2,株式会社リコー,IT,training, 複合機 ファクシミリ プロジェクター オフィス用品 産業 用 印刷 機器 開発 販売 主 行く いる グループ 通話 サービス * for * コミュニケーション サービス IT インフラ 構築 運用 管理 ビジネス サービス 手掛ける
3,株式会社きんでん,IT,training, 配電 工事 一般 電気工事 送電 線 工事 お呼び 発 変電所 工事 等 電気工事 行う いる ビル 工場 * 変電設備 構内 配電 設備 システム 提案 設計 加える 施工 メンテナンス 手掛ける いる 電気通信 工事 計装 工事 等 情報通信 工事 行う オフィス 病院 他 学校 LAN 設備 電話 設備 映像 伝送 表示 設備 セキュリティ 設計 施工 保守 対応 する さら
4,株式会社エヌ・ティ・ティエムイー,IT,training, 電話網 県 間 通信 ネットワーク 含める IP網 構築 維持 運用 並び サービス品質 管理 行う 技術 支援 人材育成 お呼び 通信機器 設備 システム
5,東日本電信電話株式会社,IT,training, 東日本 対象 電話 インターネット 回線 通信 サービス 提供 行う 法人 顧客 向ける データ ネットワーク サービス
6,ＮＥＣネッツエスアイ株式会社,IT,training, 日本電気 親会社 持つ コミュニケーション 分野 主要 事業 領域 ICT システム 企画 コンサルティング はじめ 設計 構築 運用 監視 アウトソーシング 実施 する いる 働き方改革 ソリューション 始める IoT 活用 セキュリティ ネットワーク CROWD サービス ソリ
7,沖電気工業株式会社,IT,training, ビジネス ホン IP * コンタクトセンター ビデオ 会議 システム 等 製造 販売 お呼び 施工 行う 自動車 位置情報 道路 情報 収集 分析 する 業務効率化 行う ITS サービス * 2.0 防災 情報システム DPS
8,キヤノンＩＴソリューションズ株式会社,IT,training, 金融 製造 流通 サービス 公共 文教 IT サービス 等 広範囲 提供 する * 株式会社 完全子会社 グループ 中核 System Integrator 情報システム 業務 請け負い 企業 IT ソリューション 事業領域 顧客 情報システム 分析 評価 する こと IT システム 拡張 利用 最適化 シ ステ
9,株式会社ＮＴＴ東日本－東北,IT,training, 通信 業界 リーディング カンパニー NTT東日本 グループ 担当 地域 法人 個人 顧客 窓口 担う IP網 通信
10,株式会社ＤＴＳ,IT,training, 情報システム 開発 導入 支援 運用 保守 手がける 主 銀行 証券会社 金融 分野 年金 自治体 公共 分野 顧客 勘定系システム 年金 システム 提供 する 通信業 製造業 小売業 法人 向ける ERP システム ビッグデータ 解析 システム 開発 パッケージ システム 販売
11,株式会社ＮＳＤ,IT,training, 金融業 保険業 向け システム 報道 システム 通信システム 開発 行う 製品 受給 お呼び 生産管理 受発注 管理 商業 製造業 向け システム 開発 手がける 貨物輸送 状況 照会 システム 公営競技 向け * 大学 地方自治体 向け システム 開発 取り組む 加える プラ
12,日鉄ソリューションズ株式会社,IT,training, ビジネス 問題解決 ビジネスモデル 支援 経営 情報技術 視点 顧客 情報システム コンサルティング 手掛ける いる システム 企画 提案 他 設計 構築 運用 サービス 提供 行う 業務 ソリューション 事業 手掛ける その他 プラットフォーム 構築 技術 運用 ノウハウ 組み合わせる IT *
13,株式会社アルファシステムズ,IT,training, 固定 網 モバイル 網 交換 ノード 伝送 装置 始め する ノード 加える 無線 基地局 携帯端末 使用 する れる ソフトウェア 通信 ネットワーク 管理 システム 通信システム 開発 手掛ける その他 官公庁 公共団体 社会インフラ 関連 システム 流通 サービス 業界 インターネットビジネス 関
14,日本電気通信システム株式会社,IT,training, 通信事業者 向け ネットワーク システム 設計 構築 手掛ける ソフトウェア アプリケーション 開発 行う 他 ネットワーク プロダクト 製品 企画 お呼び
15,ネットワンシステムズ株式会社,IT,training, 民間企業 通信事業 会社 省庁 自治体 向け ICT システム 構築 手掛ける システム 構築 関連 する セキュリティ IT インフラ ワーク スタイル 等 問題解決 ため 企画 開発 コンサルティング 行う ほか システム 運用 保守 最適化 対応 する 製品 vendor 協業 技術
16,ＴＩＳソリューションリンク株式会社,IT,training, エンジニア 顧客 企業 常駐 する せる システム開発 運用 技術 体制 提供 する オンサイト プロフェッショナル サービス
17,三機工業株式会社,IT,training, 建築設備 事業 空間 向け 空調 システム * はじめ する ビル 空調 衛生 事業 ビルディング オートメーション 技術 * * Web ビル 情報 配信サービス * * 用いる スマートビル 事業 手掛ける プラント 設備 事業 クリーンルーム 内 搬送 技術 空港 手荷物 *
18,株式会社日立システムズエンジニアリングサービス,IT,training, エンジニア 派遣 する サーバー メインフレーム オンサイト 運用 代行 サービス 手掛ける いる 金融機関 保険 業界 お呼び
19,三菱ＵＦＪインフォメーションテクノロジー株式会社,IT,training, 三菱UFJ フィナンシャル グループ 内 システム 設計 開発 行う 会社 三菱東京UFJ銀行 勘定系システム グループ 各社
20,ＣＴＣシステムマネジメント株式会社,IT,training, IT システム 開発 運用 サービス 行う いる サービス 対象 なる 企業 事業 通信事業 者 金融 大規模 公共性 高い もの
21,日本システムウエア株式会社,IT,training, IT ソリューション 事業 プロダクト ソリューション 事業 2つ 主 事業領域 する IT ソリューション 事業 製造業 金融業 官公庁 向け コンサルティング システム 開発 保守 運用 一貫 する 請け負う いる 具体的 製造業 向け 生産 * *
22,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ,IT,training, ベトナム ハノイ工科大学 協力関係 ある ベトナム ソフトウェア オフショア開発 強み 持つ The Startup 投資 *
23,株式会社日立ＩＣＴビジネスサービス,IT,training, 日立グループ 傘下 会社 事務 IT系 製造 系 BPO Web 制作 請け負う BPO 営業 事務 支援 SE 支援 業務 調達 支援 業務
24,住友電設株式会社,IT,training, 架空 送電 線 設備 地中 送電 設備 変電設備 設備 配電 線 設備 電力 工事 一般 電気工事 情報通信 工事 プラント 空調 工事 設備工事 行う それら 工事 関連 する エンジニアリング サービス 機器 販売 手掛ける
25,株式会社ＯＫＩソフトウェア,IT,training, 情報システム ネットワーク 構築 保守 機器 組み込み ソフト 開発 行う 取扱 製品 顧客管理 システム * CRM 応対 管
26,明治安田システム・テクノロジー株式会社,IT,training, 保険会社 向け 医療 査定 支援 システム 医療 査定 * 先進医療 情報 照会 システム 先進医療 * 開発 販売 行う 介護 総合 情報 サイト MY 介護 広場
27,株式会社インテックソリューションパワー,IT,training, 情報 戦略 業務 改革 セキュリティ 強化 IT コンサルティング 手掛ける 流通 金融 製造 業界 シ
28,株式会社ＮＴＴデータ・ビジネス・システムズ,IT,training, 業務 システム 経営戦略 コンサルティング 行う いる 会社 営業管理 顧客管理 各種 基幹 業務 システム 開
29,ＮＴＴコムソリューションズ株式会社,IT,training, NTTコミュニケーションズ グループ 属す 企業 向け ICT ソリューション 提供 する 会社 CROWD 環境 設計 運用 *
30,株式会社菱友システムズ,IT,training, 生産管理 システム 製品ライフサイクル 管理 関連 システム 開発 サーバー ネットワーク 並び 周辺機器 システム 保守 運用 監視 手掛ける 航空機 ロケット 空力 構造 解析 行う 解析 ソリューション サービス 提供 取り組む その他 画像 認識 音声認識 お呼び 自然言語処理 行う AI 搭載 シ
31,キャル株式会社,IT,training, 官公庁 一般 企業 対象 する 受託 システム開発 電気回路 設計 手掛ける 官公庁 向け システム 実績 土木工事 積算 システム 防災 情報管理 システム
32,株式会社ＪＳＯＬ,IT,training, 医薬 業界 食品 業界 自動車業界 対象 基幹 システム 導入 業務効率化 コスト削減 ソリューション 提供 する いる
33,株式会社あとらす二十一,IT,training, 主 Web 制作 インターネット広告 事業 行う ゲーム 会社 旅行会社 化粧品メーカー 出版社
34,株式会社フォーカスシステムズ,IT,training, 官公庁 地方自治体 公共機関 向け 社会保険 システム 航空 管制 システム 公共 関連 システム 開発 手がける 情報通信 機器 メーカー SIer 民間企業 向け 通信 制御システム 端末 組み込み 型 システム 受託 開発 行う その他 ハードウェア ネットワーク
35,株式会社ケアリッツ・アンド・パートナーズ,IT,training, 身体 介護 生活 援助 行う 訪問介護 サービス デイサービス 運営 福祉 器具 販売 レンタル 行う いる Web 開発 金
36,株式会社ヴィンクス,IT,training, 主 情報 関連 サービス 事業 手掛ける アウトソーシング 分野 ソリューション 分野 プロダクト 分野 3分 野 有する アウトソーシング 分野 販売 管理 等 基幹 システム クレジットカード システム 会計 システム 等 業務 システム 運用 管理 加える 業務 システム ソフトウエア 保守 *
37,エヌ・ティ・ティ・システム開発株式会社,IT,training, 発注管理 売上 管理 システム 開発 構築 行う 在庫管理 経営管理 Web システム 取り扱う いる 通
38,ピットクルー株式会社,IT,training, ネットビジネス 広告 審査 支援 ネット調査 投稿 監視 サービス 行う いる 製品 サービス カスタマー サポート
39,アイテック阪急阪神株式会社,IT,training, 社会 システム 関連 する システム 開発 お呼び 販売 主 行く おる 鉄道 運行管理 システム ビル マネジメント システム 電子カルテ 製品 取り扱う いる
40,ＮＣＳ＆Ａ株式会社,IT,training, 確定申告 受付 支援 システム 住民 情報システム 電子カルテ システム 販売 管理 システム 医療 金融業 製造業 サービス業 向け IT ソリューション 開発 お呼び 販売 行う コンピュータ 機器 保守 行う ハードウエア 保守 サービス 企業 *
41,ＪＢＣＣ株式会社,IT,training, 企業 情報システム 設計 構築 運用 保守 手掛ける 他 俺 CROWD 総称 する れる CROWD 環境 提供 行う
42,デジタル・インフォメーション・テクノロジー株式会社,IT,training, 2015年 JASDAQ 2016年 東証2部 上場 果たす DIT 事業 ビジネス ソリューション 事業 組み込み ソフトウェア開発 2つ ビジネス ソリューション 事業 金融 系 企業 中心 通信 流通 運輸 分野 向け 営業 事務 ECサイト 社内 システム 幅広い 業務 用途 システム client 合わせる 開発 構築 保守 運用 行う 組み込み ソフトウェア開発
43,ＥＭＣジャパン株式会社,IT,training, 情報 保存 管理 保護 行う Dell EMC ディスクアレイ 装置 ストレージ 管理 ソフトウェア 販売 保守 手掛ける いる
44,サイバーコム株式会社,IT,training, 無線通信 システム はじめ する 通信 ソフトウェア 公共交通機関 運賃 精算 システム 制御 ソフトウェア 電子カルテ システム 業務 ソフトウェア 開発 行う ソフトウェア開発 事業 手掛ける ネットワーク 設計 構築 導入 *
45,株式会社ソルコム,IT,training, 光ファイバーケーブル 地中 埋め込む 等 電気通信 工事 設計 施工 お呼び 保守 行う 企業 ビル 内 電気通信 機器 情報処理
46,株式会社システムリサーチ,IT,training, 子会社 株式会社 Sowelu クレジット 決済 電子マネー 決済 可能 POS 管理 システム 高度 FA 制御 技術開発 用 総合 開発 環境 専門 的 分野 含める システム開発 構築 サービス 提供 手掛ける 常駐 型 中心 する ソフトウェア開発 請負 派遣 行う 販売 管理 給与計算 ソフトウェア プロダクト 作成 お呼び 販売 保守 ハード
47,株式会社ＮＴＴデータＭＨＩシステムズ,IT,training, 三菱重工グループ グループ会社 グループ 向け 業務 系 アプリケーション 企画 開発 お呼び 運用 行う 製品情報管理 システム 経営資源 管理 cis
48,日本事務器株式会社,IT,training, 医療機関 自治体 製造業 流通業 システム 開発 請け負う ハードウェア OS DBMS プラットフォーム ソフト ネット
49,株式会社ＣＩＪ,IT,training, システム 開発 販売 運用 保守 行う 主 OS データベース アプリケーションサーバ 運用 管理 ソフト Web システム 取り扱う おる 金融機関 向け 信販 クレジット 業務 システム 製紙会社 基幹 業務 システム * COBOL 等 製造業 向け システム 手掛ける 社会福祉協議会 向け 総合 システム * 自治体 向
50,株式会社ＤＮＰデジタルソリューションズ,IT,training, 情報システム 運用 コンサルティング 事業 手掛ける Webサイト 企画 制作 運営
51,株式会社クエスト,IT,training, 情報システム コンサルティング 業務 システム 開発 保守 お呼び IT インフラ 構築 運用 管理 情報サービス 一貫 する 業務 手掛ける IT コンサルティング業務 IT戦略 立案 運用 IT 投資 効率 最大 化 する せる IT * * サービス 行う 加える *
52,東芝ＩＴコントロールシステム株式会社,IT,training, Virtual Power plant 広域 分散 蓄電 システム 構築 する ため Li-ion 蓄電 システム 製造 する いる *
53,株式会社ＪＩＥＣ,IT,training, * 損害 サービス システム 金融 保険 分野 システム開発 お呼び 導入 手掛ける 旅行 運輸 分野 座席 予約 シ
54,エリクソン・ジャパン株式会社,IT,training, 主 電気通信 機器 周辺機器 研究開発 標準化 活動 行う 通信機器 設計 製造 販売 お呼び 設置
55,サンワコムシスエンジニアリング株式会社,IT,training, 電話 通信回線 敷設 交換 設備 無線 中継 基地局 建設 通信 インフラ 基盤 整備 業務 行う ネットワーク システム インテグレーション サービス 提
56,ソレキア株式会社,IT,training, ASIC 開発 半導体 製品 コンポーネント デバイス ネットワーク ストレージ 機器 販売 手掛ける 官公庁 地方自治体 農協 生協 金融 医療 業種 業態 対応 する ERP BCP 環境 省エネ 分野 ソリューション 提供 行う cloud computing smartphone *
57,富士通九州ネットワークテクノロジーズ株式会社,IT,training, * Stream * * * ハードウェア *
58,株式会社インフォメーションクリエーティブ,IT,training, ソフトウェア開発 オペレーション 作業 お呼び 運用 管理 ネットワーク 構築 行う チケット 管理 システム チケット for Windows チケット for LINE * チケット Web 販売 cis
59,株式会社日本プレースメントセンター,IT,training, IT 分野 アウトソーシング サービス 事業 行う おる システム開発 運用 保守 請け負う その他 ネットワーク 設計 導
60,株式会社ＮＨＫテクノロジーズ,IT,training, 放送 ネットワーク 企画 コンサルティング 調査 システム設計 施工 管理 運用 お呼び 保守 行う 放送 受信 環境 整備 情報通信 ネット
61,株式会社共栄システムズ,IT,training, 業務用 統合 システム クレジット システム 開発 手掛ける CROWD 環境 サーバー 構築
62,株式会社ツリーベル,IT,training, 製造業 向け 統合 管理 システム 医療 システム 制御システム 金融機関 向け システム 設計 開発 等 行う いる
63,大興電子通信株式会社,IT,training, 主 富士通 情報通信 機器 販売 設計 施工 並び 保守 行う OA機器 電子計算機 電子 通信 設備 取り扱う 電子計算機 販売 仲介 手掛ける システム開発 行う おる 子会社 大和ソフトウェアリサーチ システム 開発 運用 管理 一部 アイデス システム開発 お呼び アウトソーシング 事業 一部 委託 する 提供 する システム 生産管理 システム 流通業 向け ソリューション ERP ある
64,進々堂商光株式会社,IT,training, 複合機 FAX 等 OA機器 販売 お呼び 保守 サービス 提供 する いる インターネット 関連 機器 パソコン周辺機器 *
65,ＡＧＳ株式会社,IT,training, 大型 汎用機 中心 する 受託 計算 サービス IDC サービス CROWD サービス BPO サービス 提供 する いる 子会社 AGSビジネスコンピューター AGSプロサービス 同様 事業 展開 する いる 金融機関 公共団体 お呼び 一般 法人 情報 戦略 策定 支援 システム コンサルティング アプリケーション ソフト 受託 開発 お呼び
66,ＧＭＯインターネット株式会社,IT,training, インターネット インフラ ネット証券 広告 様々 インターネット 事業 展開 する IT企業 ダイヤルQ2 プロバイダ 出発 する 近年 ネット インフラ 広告 ゲーム 証券 インターネット 事業 幅広い 手掛ける いる ネット インフラ 事業 多く サービス 日本国内 1位 なる いる 2005年 ごろ 証券 銀行 事業 参入 する する ところ 巨額 赤字 計上 する しまう * 年 撤退 する インターネット 事業 注力 する こと 再建 進める *
67,株式会社ＰＵＣ,IT,training, 水道 料金 徴収 業務 事務 処理 代行 コールセンター 運営 請け負う その他 情報システム サービス 開発 ネットワーク 運用 管理 サービス 構
68,富士通関西中部ネットテック株式会社,IT,training, キャリア 官公庁 企業 携帯端末 LTE 端末 向ける ソフトウェア ハードウェア 開発 行う 会社 官公庁 企業
69,北陸電話工事株式会社,IT,training, 通信ケーブル FTTH 化 工事 通信回線 関連 施工 行う ビル 内 電柱 間 施工 以外 通信 電力 配線 等 地中 化 工事
70,ＣＬＩＮＫＳ株式会社,IT,training, スマホ 向け アプリ 開発支援 IT インフラ 構築 ソリューション サービス 提供 する Webサイト 制作
71,株式会社エヌ・ティ・ティ・データＣＣＳ,IT,training, * エネルギー 株式会社 * 金属 株式会社 業務用 システム 開発 保守 運用 取り組む 一般 企業 向け IT インフラ 導入 支援 構築 * 開発 地理 情報
72,ＯＫＩクロステック株式会社,IT,training, IOT 技術 電気設備 情報処理 ソフトウェア 製造 販売 行う LED照明 設備 転換 工事 CROWD 型 電話 システム 利用 する 音声 *
73,株式会社アベールジャパン,IT,training, 一般 ビジネス アプリケーション 制御 系 ソフトウェア 設計 お呼び 開発 ネットワーク 構築 行う いる 空調 SiS
74,株式会社日興商会,IT,training, 事務用品 生活用品 家具 オフィス 特 化 する 製品 販売 する いる ソフトウェア 提案 ネットワーク 構築 保守 種IT ソリューション 対応
75,バリストライドグループ株式会社,IT,training, Web アプリ開発 インフラ ネットワーク 構築 IT ソリューション 事業 IT コンサルティング 事業 手掛ける *
76,株式会社ピーエスシー,IT,training, Webサイト モバイルサイト 構築 運用 行う 情報管理 システム 開発 SEO 対策 パブリッククラウド 構築 対応 その他 ネット
77,アルテリア・ネットワークス株式会社,IT,training, 中小企業 向け 光 インターネット接続 サービス UCOM 光 エンタープライズ * 光 インターネット接続 サービス 法人向け IP電話 サービス 光 電話 ビジネス 提供 する * はじめ する * 地点 間 結ぶ 専用 回線 サービス 仮想 通信 トンネル 構成 する VPN 接続 サービス 手掛ける 加える データセンター サービス 無線LAN 環境 構築 運
78,日興システムソリューションズ株式会社,IT,training, 証券会社 向け システム * 基幹 業務 システム 連携 基盤 開発 する 投信 口座 管理 cis
79,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,IT,training, IoT CLOUD 基盤 データセンター 運用 IT サービス 行う いる ネットワーク セキュリティ 構築 MOBA
80,三菱ケミカルシステム株式会社,IT,training, 主 グループ 内 企業 IT コンサルティング システム開発 運用 改善 トータル IT サービス 提供 する
81,中央コンピューター株式会社,IT,training, 幅広い 企業情報システム コーディネート 開発 管理 保守 主 行う システム 企画 分析 設計 プログラミング テスト アプリケーション 開発 システム 運用 メンテナンス 一環 する 行う 先 見据える 業務 システム 設計 構築 提案 する
82,日本自動化開発株式会社,IT,training, 金融 保険 業界 中心 信販 通信 物流 業界 システム 受託 業務 行う 特徴 担当 社員 client 企業 常駐 する せる 設計
83,シネックスジャパン株式会社,IT,training, IT 流通 ネットワーク 駆使 する サービス ビジネス 支援 する 専門商社 様々 ハードウェア ソフトウェア 商品
84,ベース株式会社,IT,training, 金融 流通 物流 業界 中心 する システム インフラ 開発 手掛ける 会社 ERP
85,株式会社システムエグゼ,IT,training, 保険会社 会計事務所 製造業 生産管理 医療 関連 する システム 開発 行う IT インフラ 構築 デー
86,株式会社ＣＩＪネクスト,IT,training, 官公庁 向け 公共 系 システム 金融 系 システム 地理 宇宙 関連 システム 開発 行う いる 交通 信号 制御 機 車両 感知 器
87,日本コンピュータ・ダイナミクス株式会社,IT,training, 主 IT 事業 パーキング 事業 2つ 行う おる IT 事業 iOS Androidアプリ 開発 コード 自動 生成 する ツール アプリケーション 提供 等 行う システム 構築 ソリューション 提案 手掛ける IBM CROWD 導入 支援 マネー 磁土 サービスセンター 運営 行う IT インフラ 運
88,株式会社キューブシステム,IT,training, 金融業 通信業 官公庁 向け システム User Interface 設計 環境 設計 基本 設計 プログラミング システムテスト 行う 業務 アプリケーション 管理 システム 運用 管理 * 取り組む システム 移行
89,株式会社SYSKEN,IT,training, 電話 サービス 光 ブロードバンド モバイル ネットワーク 等 設備 構築 行う 通信 設備 通信ケーブル ネットワーク 設備工事 ほか
90,ニッコーテクノ株式会社,IT,training, 原子力発電施設 配管 設計 試運転 保守 エンジニアリング 手掛ける いる その他 官公庁 民間企業 ソフトウェア 開発
91,富士フイルムソフトウエア株式会社,IT,training, 主 富士フイルムグループ 製品 サービス ソフトウエア 開発 行なう いる 会社 IT インフラ サービス 手掛ける そのほか フォト プリント
92,インターネットウェア株式会社,IT,training, 銀行 営業 店 端末 並び ATM 生産計画 システム 在庫管理 システム 窓口 ナビゲーションシステム 大学 用 シラバス システム 等 開発 手掛ける 電気通信設備 工事 サー
93,株式会社ディックソリューションエンジニアリング,IT,training, 官公庁 一般 企業 ネットワーク システム 構築 導入 支援 メンテナンス 手掛ける いる 工場 モータ
94,株式会社ニーズウェル,IT,training, 業務 系 システム開発 基盤 構築 組み込み 系 開発 手掛ける いる 業務 系 システム開発 保険会社 向け 契約 管理 顧客管理 行う システム 銀行 向け 勘定系システム 等 開発 販売 する ほか ホテル 向け フロント システム 不動産会社 向け 物件 情報システム 等 提供 する 基盤 構築 IT システム 基盤 なる サーバ 等 ハードウェア 環境 設計
95,コムシス情報システム株式会社,IT,training, 通信事業 者 金融 官公庁 情報管理 システム 受託 開発 お呼び 運用 行う サーバー ネットワーク 構築 *
